settlement_date,tsd
2009-01-01 00:00:00,38704
2009-01-01 01:00:00,38651
2009-01-01 02:00:00,37298
2009-01-01 03:00:00,36844
2009-01-01 04:00:00,34635
2009-01-01 05:00:00,33378
2009-01-01 06:00:00,32875
2009-01-01 07:00:00,31900
2009-01-01 08:00:00,31094
2009-01-01 09:00:00,32079
2009-01-01 10:00:00,35602
2009-01-01 11:00:00,38751
2009-01-01 12:00:00,41058
2009-01-01 13:00:00,41479
2009-01-01 14:00:00,41427
2009-01-01 15:00:00,41417
2009-01-01 16:00:00,44133
2009-01-01 17:00:00,46634
2009-01-01 18:00:00,45865
2009-01-01 19:00:00,44579
2009-01-01 20:00:00,43000
2009-01-01 21:00:00,40813
2009-01-01 22:00:00,37797
2009-01-01 23:00:00,36116
2009-01-02 00:00:00,35837
2009-01-02 01:00:00,35718
2009-01-02 02:00:00,34528
2009-01-02 03:00:00,34161
2009-01-02 04:00:00,32965
2009-01-02 05:00:00,32319
2009-01-02 06:00:00,33437
2009-01-02 07:00:00,34964
2009-01-02 08:00:00,37007
2009-01-02 09:00:00,40912
2009-01-02 10:00:00,43347
2009-01-02 11:00:00,44044
2009-01-02 12:00:00,44628
2009-01-02 13:00:00,44715
2009-01-02 14:00:00,44471
2009-01-02 15:00:00,44561
2009-01-02 16:00:00,47533
2009-01-02 17:00:00,51797
2009-01-02 18:00:00,51081
2009-01-02 19:00:00,49107
2009-01-02 20:00:00,46470
2009-01-02 21:00:00,43898
2009-01-02 22:00:00,40943
2009-01-02 23:00:00,38817
2009-01-03 00:00:00,38278
2009-01-03 01:00:00,37437
2009-01-03 02:00:00,36027
2009-01-03 03:00:00,35617
2009-01-03 04:00:00,34399
2009-01-03 05:00:00,33850
2009-01-03 06:00:00,34083
2009-01-03 07:00:00,33594
2009-01-03 08:00:00,35439
2009-01-03 09:00:00,39537
2009-01-03 10:00:00,42198
2009-01-03 11:00:00,43083
2009-01-03 12:00:00,43421
2009-01-03 13:00:00,43119
2009-01-03 14:00:00,42454
2009-01-03 15:00:00,42448
2009-01-03 16:00:00,45627
2009-01-03 17:00:00,50418
2009-01-03 18:00:00,50066
2009-01-03 19:00:00,47948
2009-01-03 20:00:00,45688
2009-01-03 21:00:00,43037
2009-01-03 22:00:00,40341
2009-01-03 23:00:00,38800
2009-01-04 00:00:00,38749
2009-01-04 01:00:00,37621
2009-01-04 02:00:00,36079
2009-01-04 03:00:00,35783
2009-01-04 04:00:00,34264
2009-01-04 05:00:00,33518
2009-01-04 06:00:00,33197
2009-01-04 07:00:00,32072
2009-01-04 08:00:00,32618
2009-01-04 09:00:00,36520
2009-01-04 10:00:00,40764
2009-01-04 11:00:00,43628
2009-01-04 12:00:00,45383
2009-01-04 13:00:00,45771
2009-01-04 14:00:00,45686
2009-01-04 15:00:00,45742
2009-01-04 16:00:00,48404
2009-01-04 17:00:00,51236
2009-01-04 18:00:00,50352
2009-01-04 19:00:00,48259
2009-01-04 20:00:00,46746
2009-01-04 21:00:00,44322
2009-01-04 22:00:00,40598
2009-01-04 23:00:00,38217
2009-01-05 00:00:00,38323
2009-01-05 01:00:00,38185
2009-01-05 02:00:00,37596
2009-01-05 03:00:00,37398
2009-01-05 04:00:00,36121
2009-01-05 05:00:00,36232
2009-01-05 06:00:00,39330
2009-01-05 07:00:00,45016
2009-01-05 08:00:00,48745
2009-01-05 09:00:00,51135
2009-01-05 10:00:00,51837
2009-01-05 11:00:00,52229
2009-01-05 12:00:00,52529
2009-01-05 13:00:00,52504
2009-01-05 14:00:00,52438
2009-01-05 15:00:00,51339
2009-01-05 16:00:00,54108
2009-01-05 17:00:00,58201
2009-01-05 18:00:00,57017
2009-01-05 19:00:00,55247
2009-01-05 20:00:00,52351
2009-01-05 21:00:00,49566
2009-01-05 22:00:00,45510
2009-01-05 23:00:00,42922
2009-01-06 00:00:00,42182
2009-01-06 01:00:00,42088
2009-01-06 02:00:00,41293
2009-01-06 03:00:00,41283
2009-01-06 04:00:00,40169
2009-01-06 05:00:00,40796
2009-01-06 06:00:00,44344
2009-01-06 07:00:00,49118
2009-01-06 08:00:00,51930
2009-01-06 09:00:00,53310
2009-01-06 10:00:00,53784
2009-01-06 11:00:00,53348
2009-01-06 12:00:00,53403
2009-01-06 13:00:00,53185
2009-01-06 14:00:00,52998
2009-01-06 15:00:00,51777
2009-01-06 16:00:00,55014
